id,name,state_before,date_order,amount_total,n_lines
1535,S01535,draft,2024-01-21 17:37:22,10000.0,1
1543,S01543,draft,2024-01-22 03:54:03,32000.0,1
1551,S01551,draft,2024-01-22 17:55:49,6500.0,2
1552,S01552,draft,2024-01-22 19:54:35,4500.0,1
1553,S01553,draft,2024-01-22 21:01:28,17000.0,3
1554,S01554,draft,2024-01-23 15:12:30,1900.0,1
1557,S01557,draft,2024-01-23 18:27:39,31200.0,1
1558,S01558,draft,2024-01-23 18:46:17,15000.0,1
1570,S01570,draft,2024-01-25 15:31:26,20800.0,3
1575,S01575,draft,2024-01-26 02:32:13,0.0,0
1579,S01579,draft,2024-01-27 16:12:57,0.0,0
1580,S01580,draft,2024-01-27 23:32:19,0.0,0
1581,S01581,draft,2024-01-28 04:54:38,20000.0,1
1586,S01586,draft,2024-01-29 12:59:22,52000.0,5
1591,S01591,draft,2024-01-30 03:41:53,8900.0,1
1592,S01592,draft,2024-01-30 13:12:08,450000.0,1
1594,S01594,draft,2024-01-30 15:03:00,36000.0,1
1603,S01603,draft,2024-01-31 15:40:46,16100.0,2
1606,S01606,draft,2024-01-31 17:14:53,12000.0,1
1616,S01616,draft,2024-02-01 04:35:12,234700.0,21
1627,S01627,draft,2024-02-02 04:32:41,4000.0,1
1636,S01636,draft,2024-02-02 17:17:39,12000.0,1
1639,S01639,draft,2024-02-02 17:51:39,15800.0,2
1642,S01642,draft,2024-02-02 19:33:35,9000.0,1
1645,S01645,draft,2024-02-02 21:11:44,18000.0,3
1648,S01648,draft,2024-02-03 16:33:52,500.0,1
1649,S01649,draft,2024-02-03 20:51:42,12000.0,1
1652,S01652,draft,2024-02-04 04:24:36,90000.0,5
1653,S01653,draft,2024-02-04 05:10:00,0.0,0
1665,S01665,draft,2024-02-06 19:58:05,15000.0,1
1686,S01686,draft,2024-02-09 22:27:35,0.0,0
1692,S01692,draft,2024-02-10 19:27:02,3500.0,1
1696,S01696,draft,2024-02-12 02:19:16,6200.0,1
1697,S01697,draft,2024-02-12 02:49:43,12000.0,1
1698,S01698,draft,2024-02-12 03:16:38,28000.0,2
1705,S01705,draft,2024-02-12 17:31:42,3000.0,1
1713,S01713,draft,2024-02-14 01:26:05,6000.0,1
1714,S01714,draft,2024-02-14 02:04:37,2000.0,1
1715,S01715,draft,2024-02-14 02:54:57,9400.0,2
